ResponseId,CELL,AIP_COND,DISC_COND,CONSENT,SCR_AGE,SCR1,CC1,CC2,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,REL1,REL2,REL3,REL4,INT1,INT2,INT3,INT4,INT5,TRU1,TRU2,TRU3,TRU4,TRU5,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,PI1,PI2,PI3,PDPL1,PDPL2,PDPL3,PDPL4,ATT1,ATT2,MC_AIP,MC_DISC,VIG_TIME_First Click,VIG_TIME_Last Click,VIG_TIME_Page Submit,VIG_TIME_Click Count,Duration (in seconds),AGE_BAND,GEN,EDU,INC,FREQ,PLAT,PRIOR,CHAN,CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_STORE,CHAN_SOC,flag_cell_mismatch,flag_straightliner,flag_cc1_wrong,flag_cc2_wrong
R_2_0000,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,1,2,2,2,3,5,3.0,3,3,1,2,3,3,2.0,3,3,3,4,5,4,4,5,5.0,4,5,5,4,4,4,4,5,6,4,4,5,2,2,5,0.6,5.3,6.4,6,571,18 - 24,Nu,Dai hoc,5 - 10 trieu,Nhieu lan moi tuan,Shopee,Duoi 6 thang,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,False,False
R_2_0001,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,1,3,2,4,3,3,4.0,3,3,5,4,4,2,3.0,3,4,6,5,5,6,7,6,4.0,4,5,5,5,4,3,2,4,3,3,3,5,2,4,5,5.6,5.699999999999999,6.499999999999999,7,521,18 - 24,Nu,Dai hoc,Tren 20 - 40 trieu,Vai lan moi nam,Lazada,Tu 1 den 3 nam,CHAN_APP,True,False,False,False,False,False,False,False,False
R_2_0002,4,1,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,1,6,5,5,5,5,5.0,4,3,4,5,2,2,3.0,3,4,5,7,5,5,5,5,5.0,5,5,5,5,5,5,6,5,5,5,7,5,2,3,6,0.8,4.3,6.0,2,681,25 - 34,Nu,Dai hoc,5 - 10 trieu,Nhieu lan moi tuan,Lazada,Tu 1 den 3 nam,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,False,False
R_2_0003,1,0,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,2,3,2,1,3,3,2.0,3,3,2,2,3,3,3.0,2,3,4,6,5,4,4,3,3.0,4,4,4,2,5,4,5,2,1,1,3,5,2,2,3,1.0,1.2,2.1,1,631,25 - 34,Nu,Dai hoc,Tren 20 - 40 trieu,Khoang moi thang,Shopee,Tu 6 den 12 thang,CHAN_APP,True,False,False,False,False,False,False,False,False
R_2_0004,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,2,3,5,4,3,3,4.0,5,4,3,6,1,1,2.0,1,2,5,6,6,7,7,6,4.0,4,4,5,5,3,3,2,5,3,4,3,5,2,4,4,3.3,8.899999999999999,8.999999999999998,4,511,35 - 44,Nam,Trung cap - Cao dang,5 - 10 trieu,Nhieu lan moi tuan,Shopee,Tren 3 nam,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,False,False
R_2_0005,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",3,2,4,6,5,5,4,4.0,6,4,5,5,4,4,3.0,3,3,3,5,4,4,4,4,5.0,4,5,6,5,3,4,7,6,5,5,5,5,2,4,4,1.9,4.1,4.3,6,675,18 - 24,Nam,THPT tro xuong,Duoi 5 trieu,Khoang moi tuan,Lazada,Tu 6 den 12 thang,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,True,False
R_2_0006,1,0,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,2,3,4,5,4,5,3.0,6,5,5,5,4,4,6.0,4,4,4,5,4,4,4,4,2.0,4,4,4,5,2,2,3,5,4,5,4,5,2,4,4,0.2,0.8,1.3,6,466,35 - 44,Nu,Dai hoc,Tren 10 - 20 trieu,Khoang moi tuan,Shopee,Duoi 6 thang,"CHAN_WEB,CHAN_STORE",False,True,False,True,False,False,False,False,False
R_2_0007,1,0,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,2,3,5,2,3,3,,5,6,6,5,2,2,2.0,2,1,5,6,5,6,4,6,7.0,6,5,7,5,6,5,5,5,5,6,5,5,2,3,4,2.3,10.7,13.7,1,319,45 - 54,Khac,Dai hoc,Tren 40 trieu,Khoang moi tuan,Tiki,Duoi 6 thang,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,False,False
R_2_0008,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,1,4,3,5,5,3,5.0,3,4,3,5,2,3,2.0,2,3,5,5,6,3,4,4,3.0,3,4,2,2,6,5,5,2,3,4,4,5,2,3,6,1.9,4.3,6.699999999999999,1,568,18 - 24,Nu,Dai hoc,Tren 10 - 20 trieu,Nhieu lan moi tuan,Lazada,Tren 3 nam,CHAN_APP,True,False,False,False,False,False,False,False,False
R_2_0010,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",3,2,3,5,5,3,3,3.0,2,3,3,2,3,4,4.0,3,2,4,6,6,6,5,3,4.0,5,5,4,3,5,5,4,4,4,6,3,5,2,3,5,4.7,11.4,13.1,6,686,55 tro len,Nu,Dai hoc,Tren 20 - 40 trieu,Khoang moi thang,Lazada,Tu 6 den 12 thang,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,True,False
R_2_0011,1,0,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,2,6,7,5,7,6,5.0,3,4,5,5,4,4,4.0,4,4,5,5,7,6,5,4,5.0,4,5,5,5,4,2,4,2,1,1,2,5,2,7,3,7.0,10.3,12.0,1,345,18 - 24,Nam,Sau dai hoc,Tren 40 trieu,Vai lan moi nam,Shopee,Duoi 6 thang,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,False,False
R_2_0012,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,1,2,2,2,2,4,3.0,5,5,5,3,3,4,4.0,4,3,5,5,4,5,5,4,2.0,3,2,3,2,4,4,6,2,4,3,4,5,2,3,5,3.7,3.8,3.8,4,429,25 - 34,Nu,Sau dai hoc,5 - 10 trieu,Vai lan moi nam,Shopee,Duoi 6 thang,CHAN_APP,True,False,False,False,False,False,False,False,False
R_2_0013,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,3,4,4,4,3,4,4.0,5,4,4,4,2,6,3.0,3,3,6,5,6,4,6,5,4.0,4,4,5,5,2,3,1,3,2,4,3,5,2,3,4,2.2,5.0,6.8,6,364,35 - 44,Nam,Dai hoc,Duoi 5 trieu,Vai lan moi nam,TikTok Shop,Tu 6 den 12 thang,CHAN_APP,True,False,False,False,False,False,False,False,True
