StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Last Seen Flow Element ID,Last Seen Question IDs,CONSENT,SCR_AGE,SCR1,VIG_TIME_First Click,VIG_TIME_Last Click,VIG_TIME_Page Submit,VIG_TIME_Click Count,VIG_TIME_First Click.1,VIG_TIME_Last Click.1,VIG_TIME_Page Submit.1,VIG_TIME_Click Count.1,VIG_TIME_First Click.2,VIG_TIME_Last Click.2,VIG_TIME_Page Submit.2,VIG_TIME_Click Count.2,VIG_TIME_First Click.3,VIG_TIME_Last Click.3,VIG_TIME_Page Submit.3,VIG_TIME_Click Count.3,CC1,CC2,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,REL1,REL2,REL3,REL4,INT1,INT2,INT3,INT4,INT5,ATT1,TRU1,TRU2,TRU3,TRU4,TRU5,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ATT2,PI1,PI2,PI3,PDPL1,PDPL2,PDPL3,PDPL4,MC_AIP,MC_DISC,AGE_BAND,GEN,EDU,INC,FREQ,PLAT,PLAT_5_TEXT,PRIOR,CHAN,CELL,AIP_COND,DISC_COND
Start Date,End Date,Response Type,,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,,,,,,,Distribution Channel,User Language,Q_DuplicateRespondent,Last Seen Flow Element ID,Last Seen Question IDs,"Anh/Chị có đồng ý tham gia khảo sát này không?

Do you agree to participate in this survey?","Anh/Chị có đủ 18 tuổi trở lên không?

Yes, I am 18 or older","Trong 3 tháng gần đây, bạn có mua sắm trên các nền tảng như Shopee, Lazada, TikTok Shop, Thế giới di động, Hasaki… qua ít nhất 2 kênh khác nhau không (ví dụ: vừa đặt qua ứng dụng vừa đặt qua website, hoặc vừa mua online vừa mua trực tiếp tại cửa hàng)?

In the past 3 months, have you shopped on platforms such as Shopee, Lazada, TikTok Shop, The Gioi Di Dong, Hasaki, etc. through at least 2 different channels (for example, ordering both via app and via website, or shopping both online and in-store)?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Trong tình huống bạn vừa đọc, danh sách sản phẩm được hiển thị theo cách nào?

In the scenario you just read, how was the product list displayed?","Trong tình huống bạn vừa đọc, trước khi xem các sản phẩm, ShopWave có hiển thị thông báo về quyền riêng tư không?

In the scenario you just read, before viewing the products, did ShopWave display a privacy notice?","ShopWave sử dụng dữ liệu cá nhân của tôi (ví dụ: lịch sử mua hàng, hành vi duyệt xem) để cá nhân hoá các gợi ý sản phẩm dành cho tôi.

ShopWave uses my personal data (e.g., purchase history, browsing behavior) to personalize the product recommendations shown to me.","ShopWave ghi nhớ các tương tác trước đây của tôi và điều chỉnh nội dung hiển thị cho phù hợp.

ShopWave remembers my previous interactions and adjusts the displayed content accordingly.","ShopWave lựa chọn ưu đãi và khuyến mãi hiển thị cho tôi dựa trên đặc điểm và hành vi mua sắm của tôi.

ShopWave selects the offers and promotions shown to me based on my characteristics and shopping behavior.","Các gợi ý và thông điệp của ShopWave hướng đến riêng cá nhân tôi, thay vì xem tôi như một người mua hàng bất kỳ.



ShopWave's recommendations and messages are directed specifically at me personally, rather than treating me as a generic shopper.","Bất kể tôi dùng kênh nào (ứng dụng hay website), ShopWave đều đưa ra gợi ý thể hiện cùng một sự hiểu biết về tôi.

Regardless of which channel I use (app or website), ShopWave provides recommendations that reflect the same understanding of me.","Các khuyến mãi và gợi ý sản phẩm của ShopWave nhất quán với hồ sơ cá nhân của tôi, bất kể tôi đang dùng kênh nào.

ShopWave's promotions and product recommendations are consistent with my personal profile, regardless of which channel I am using.","Danh sách sản phẩm tôi vừa xem phù hợp với nhu cầu mua sắm hiện tại của tôi.

The product list I just viewed matches my current shopping needs.","Danh sách sản phẩm tôi vừa xem phù hợp với sở thích cá nhân của tôi.

The product list I just viewed matches my personal preferences.","Nhìn chung, tôi thấy danh sách sản phẩm tôi vừa xem có liên quan và phù hợp với tôi.

Overall, I find the product list I just viewed relevant and suitable for me.","Những gợi ý của ShopWave giúp tôi dễ dàng tìm được sản phẩm phù hợp/hữu ích đối với quyết định mua sắm.

ShopWave's recommendations make it easy for me to find products that are suitable/useful for my purchase decision.","Tôi cảm thấy danh sách sản phẩm này gây cản trở trải nghiệm mua sắm thông thường của tôi.

I feel that this product list interferes with my normal shopping experience.","Tôi cảm thấy khó chịu vì danh sách sản phẩm này làm gián đoạn việc tôi đang mua sắm.

I feel annoyed because this product list disrupts what I am doing while shopping.","Tôi cảm thấy danh sách sản phẩm này quấy rầy và khó có thể lờ đi.

I feel that this product list is intrusive and hard to ignore.","Tôi cảm thấy trải nghiệm này xâm phạm quyền riêng tư của tôi.

I feel that this experience violates my privacy.","Tôi cảm thấy cách sản phẩm được hiển thị cho tôi mang tính áp đặt, nằm ngoài tầm kiểm soát của tôi.

I feel that the way products are displayed to me is imposing and beyond my control.","Để xác nhận Anh/Chị đang đọc kỹ câu hỏi, vui lòng chọn số 5 cho câu này.

To confirm that you are reading the questions carefully, please select number 5 for this item.","Tôi tin ShopWave có đủ năng lực để hiểu đúng nhu cầu mua sắm của tôi.

I believe ShopWave is competent enough to correctly understand my shopping needs.","Tôi tin rằng ShopWave luôn hành động một cách trung thực và đáng tin cậy/luôn giữ đúng những gì họ cam kết với khách hàng.

I believe ShopWave always acts honestly and reliably / always keeps its commitments to customers.","Tôi tin rằng ShopWave hành động vì lợi ích của tôi, chứ không chỉ vì lợi ích riêng của họ.

I believe ShopWave acts in my interest, not just in its own interest.","Tôi cảm thấy an toàn khi tương tác với ShopWave.

I feel safe interacting with ShopWave.","Nhìn chung, tôi tin tưởng vào ShopWave.

Overall, I trust ShopWave.","Khi mua sắm trực tuyến, tôi sẽ thường nghĩ đến ShopWave.

When shopping online, I would often think of ShopWave.","Tôi sẽ rất chú ý đến những nội dung liên quan đến các gợi ý của ShopWave.

I would pay close attention to content related to ShopWave's recommendations.","Tôi cảm thấy những cảm xúc tích cực khi tương tác với ShopWave.

I would feel positive emotions when interacting with ShopWave.","Tôi sẽ chủ động sử dụng và khám phá các tính năng mà ShopWave cung cấp.

I would actively use and explore the features that ShopWave offers.","So với các nền tảng mua sắm khác, tôi sẽ dành nhiều thời gian sử dụng ShopWave hơn.

Compared to other shopping platforms, I would spend more time using ShopWave.","Tôi cảm thấy hào hứng khi sử dụng ShopWave.

I would feel excited when using ShopWave.","Để xác nhận Anh/Chị đang đọc kỹ câu hỏi, vui lòng chọn số 2 cho câu này.

To confirm that you are reading the questions carefully, please select number 2 for this item.","Nếu có cơ hội, tôi có ý định mua các sản phẩm được nền tảng ShopWave hiển thị cho tôi.

If given the opportunity, I intend to purchase the products displayed to me by ShopWave.","Tôi nghĩ rằng trong tương lai tôi sẽ mua hàng trên nền tảng ShopWave dựa trên những gì tôi đã thấy hôm nay.

I think that in the future I would make purchases on the ShopWave platform based on what I saw today.","Dựa trên tình huống vừa đọc, nhiều khả năng tôi sẽ tiếp tục mua sắm trên ShopWave.

Based on the scenario I just read, I am likely to continue shopping on ShopWave.","Tôi biết Việt Nam hiện có luật quy định về bảo vệ dữ liệu cá nhân.

I know that Vietnam currently has a law governing personal data protection.","Tôi biết mình có quyền yêu cầu doanh nghiệp xóa hoặc ngừng sử dụng dữ liệu cá nhân của mình.

I know that I have the right to request businesses to delete or stop using my personal data.","Tôi hiểu rằng doanh nghiệp phải xin sự đồng ý của tôi trước khi thu thập dữ liệu để cá nhân hóa.

I understand that businesses must obtain my consent before collecting data for personalization purposes.","Tôi biết mình có quyền được thông báo về việc dữ liệu cá nhân của mình đang được xử lý như thế nào.

I know that I have the right to be informed about how my personal data is being processed.","Tôi cảm thấy danh sách sản phẩm mà mình nhìn thấy đã được cá nhân hóa theo sở thích của riêng tôi.

I feel that the product list I saw was personalized according to my own preferences.","Tôi nhận thấy nền tảng này đã cung cấp thông báo về quyền riêng tư trước khi tôi tiếp tục duyệt xem.

I noticed that the platform provided a privacy notice before I continued browsing.","Anh/Chị vui lòng cho biết nhóm tuổi của mình:

Please indicate your age group:","Anh/Chị vui lòng cho biết giới tính của mình:

Please indicate your gender:","Trình độ học vấn cao nhất Anh/Chị đã hoàn thành là gì?

What is the highest level of education you have completed?","Thu nhập cá nhân hằng tháng của Anh/Chị hiện nay khoảng bao nhiêu?

What is your approximate current monthly personal income?","Anh/Chị mua sắm trực tuyến với tần suất như thế nào?

How often do you shop online?","Trong 3 tháng gần đây, Anh/Chị mua sắm nhiều nhất trên nền tảng nào dưới đây?

In the past 3 months, which of the following platforms have you shopped on the most? - Selected Choice","Trong 3 tháng gần đây, Anh/Chị mua sắm nhiều nhất trên nền tảng nào dưới đây?

In the past 3 months, which of the following platforms have you shopped on the most? - Khác

Other - Text","Anh/Chị đã sử dụng nền tảng [QID73-ChoiceGroup-SelectedChoices] được bao lâu?

How long have you been using [QID73-ChoiceGroup-SelectedChoices] platform?","Trong 3 tháng gần đây, Anh/Chị đã mua hàng của nền tảng [QID73-ChoiceGroup-SelectedChoices] qua những kênh nào dưới đây? (Có thể chọn nhiều đáp án)

In the past 3 months, through which of the following channels have you made purchases on [QID73-ChoiceGroup-SelectedChoices] platform? (Multiple answers allowed)",CELL,AIP_COND,DISC_COND
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}",,,,,,,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""LastSeenFlowID""}","{""ImportId"":""LastSeenQuestions""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID8_FIRST_CLICK""}","{""ImportId"":""QID8_LAST_CLICK""}","{""ImportId"":""QID8_PAGE_SUBMIT""}","{""ImportId"":""QID8_CLICK_COUNT""}","{""ImportId"":""QID10_FIRST_CLICK""}","{""ImportId"":""QID10_LAST_CLICK""}","{""ImportId"":""QID10_PAGE_SUBMIT""}","{""ImportId"":""QID10_CLICK_COUNT""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID79""}","{""ImportId"":""QID16""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID97""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID60""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID40""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID74""}","{""ImportId"":""QID73""}","{""ImportId"":""QID73_5_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""CELL""}","{""ImportId"":""AIP_COND""}","{""ImportId"":""DISC_COND""}"
2026-08-18 21:39:57,2026-08-18 21:50:10,0,,100,613,1,2026-08-18 21:50:11,R_4EDOgG89zgBM7yV,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,23.936,100.432,100.453,12,,,,,,,,,1,1,7,6,7,5,5,6,5,6,6,6,3,4,3,4,5,5,5,6,5,4,5,6,5,4,5,5,6,2,5,6,6,6,7,7,7,6,6,1,2,3,1,4,1,,4,"1,3",2,0,1
2026-08-18 21:42:49,2026-08-18 21:59:58,0,,100,1028,1,2026-08-18 21:59:58,R_9QmjLvkA27oKTiX,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,2.863,84.864,84.866,14,,,,,2,2,7,7,7,6,7,7,6,7,6,7,2,3,3,2,2,5,6,6,6,6,6,6,7,7,6,6,6,2,6,6,6,6,6,6,6,7,6,1,1,3,1,3,1,,3,"1,3,5",3,1,0
2026-08-19 01:24:05,2026-08-19 01:33:24,0,,100,559,1,2026-08-19 01:33:24,R_41YrSa2VM6W3FRM,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,17.612,38.269,38.275999999999996,11,2,1,7,7,7,7,7,7,6,6,6,7,2,2,4,3,4,5,6,6,6,6,6,6,5,5,7,6,5,2,6,6,6,7,7,7,7,7,7,1,2,3,1,4,1,,4,"1,2,3,4",4,1,1
2026-08-19 02:01:22,2026-08-19 04:38:38,0,,100,9436,1,2026-08-19 04:38:39,R_9fKgfHRpsCYcuVX,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,40.66,40.66,40.663,1,,,,,2,2,6,5,5,6,5,5,6,6,6,5,3,4,5,5,3,5,5,5,5,4,5,6,4,5,5,6,5,2,5,5,5,3,4,7,5,6,5,1,1,1,1,3,1,,4,1,3,1,0
2026-08-19 04:58:44,2026-08-19 05:00:53,0,,100,129,1,2026-08-19 05:00:53,R_93ZqExqtXBVjffH,,,,,,,anonymous,VI,,FL_32,,1,1,1,,,,,15.971,15.971,15.972,1,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1
2026-08-19 05:01:18,2026-08-19 05:07:39,0,,100,380,1,2026-08-19 05:07:39,R_42ISUUkaLMGUZUo,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,23.864,23.864,23.866,1,2,1,6,5,5,5,5,5,6,6,5,5,3,2,3,6,4,5,5,5,5,5,6,6,5,5,5,5,5,2,5,5,5,4,5,6,5,4,4,1,1,3,6,3,1,,4,"1,2,3",4,1,1
2026-08-19 05:09:28,2026-08-19 05:10:58,0,,100,90,1,2026-08-19 05:10:59,R_4lxequZS7oiOT8o,,,,,,,anonymous,VI,,FL_32,,1,1,1,54.243,54.243,54.254,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2026-08-19 05:22:21,2026-08-19 05:30:18,0,,100,476,1,2026-08-19 05:30:18,R_9tDXmKItMXQbQy7,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,25.938,25.938,25.952,1,,,,,2,2,6,6,5,5,5,5,5,6,5,5,4,4,4,6,3,5,4,3,2,3,2,6,6,5,5,5,5,2,5,4,5,6,5,6,6,5,2,1,1,3,1,3,3,,3,1,3,1,0
