variable,value,n,pct
AGE_BAND,18 - 24,137,36.2
AGE_BAND,25 - 34,106,28.0
AGE_BAND,35 - 44,71,18.8
AGE_BAND,45 - 54,46,12.2
AGE_BAND,55 tro len,18,4.8
GEN,Nu,193,51.1
GEN,Nam,159,42.1
GEN,Khac,26,6.9
EDU,Dai hoc,208,55.0
EDU,Trung cap - Cao dang,74,19.6
EDU,Sau dai hoc,63,16.7
EDU,THPT tro xuong,33,8.7
INC,Tren 20 - 40 trieu,87,23.0
INC,Tren 10 - 20 trieu,81,21.4
INC,5 - 10 trieu,78,20.6
INC,Duoi 5 trieu,71,18.8
INC,Tren 40 trieu,61,16.1
FREQ,Nhieu lan moi tuan,103,27.2
FREQ,Khoang moi tuan,103,27.2
FREQ,Khoang moi thang,95,25.1
FREQ,Vai lan moi nam,77,20.4
PLAT,Shopee,196,51.9
PLAT,TikTok Shop,84,22.2
PLAT,Lazada,75,19.8
PLAT,Tiki,23,6.1
PRIOR,Duoi 6 thang,115,30.4
PRIOR,Tu 1 den 3 nam,100,26.5
PRIOR,Tren 3 nam,85,22.5
PRIOR,Tu 6 den 12 thang,78,20.6
