construct,item,loading,flag_below_0.60
AIP,AIP1,-0.883,False
AIP,AIP2,-0.915,False
AIP,AIP3,-0.87,False
AIP,AIP4,-0.919,False
AIP,AIP5,-0.777,False
REL,REL1,-0.917,False
REL,REL2,-0.922,False
REL,REL3,-0.825,False
REL,REL4,-0.786,False
INT,INT1,0.901,False
INT,INT2,0.899,False
INT,INT3,0.847,False
INT,INT4,0.786,False
INT,INT5,0.831,False
TRU,TRU1,-0.708,False
TRU,TRU2,-0.836,False
TRU,TRU3,-0.739,False
TRU,TRU4,-0.85,False
TRU,TRU5,-0.865,False
TRU,TRU6,-0.853,False
PI,PI1,-0.904,False
PI,PI2,-0.778,False
PI,PI3,-0.919,False
PI,PI4,-0.85,False
PDPL,PDPL1,-0.593,True
PDPL,PDPL2,-0.874,False
PDPL,PDPL3,-0.833,False
PDPL,PDPL4,-0.91,False
