variable,value,label,n,pct
AGE_BAND,1.0,,351,92.4
AGE_BAND,2.0,,17,4.5
AGE_BAND,3.0,,7,1.8
AGE_BAND,4.0,,3,0.8
AGE_BAND,5.0,,2,0.5
GEN,2.0,,232,61.1
GEN,1.0,,147,38.7
GEN,3.0,,1,0.3
LOC,1.0,,252,66.3
LOC,,,53,13.9
LOC,5.0,,46,12.1
LOC,2.0,,17,4.5
LOC,3.0,,12,3.2
EDU,3.0,,250,65.8
EDU,1.0,,107,28.2
EDU,2.0,,13,3.4
EDU,4.0,,10,2.6
INC,1.0,,244,64.2
INC,2.0,,84,22.1
INC,3.0,,36,9.5
INC,4.0,,12,3.2
INC,5.0,,4,1.1
FREQ,3.0,,198,52.1
FREQ,4.0,,110,28.9
FREQ,5.0,,30,7.9
FREQ,2.0,,28,7.4
FREQ,1.0,,14,3.7
PLAT,1.0,,291,76.6
PLAT,3.0,,84,22.1
PLAT,2.0,,2,0.5
PLAT,5.0,,2,0.5
PLAT,4.0,,1,0.3
PRIOR,4.0,,251,66.1
PRIOR,3.0,,108,28.4
PRIOR,2.0,,15,3.9
PRIOR,1.0,,6,1.6
REF,3.0,Đức Thiện,83,21.8
REF,5.0,Như Quỳnh,77,20.3
REF,1.0,Hoàng Khải,68,17.9
REF,4.0,Trọng Phúc,63,16.6
REF,,,54,14.2
REF,2.0,Tuấn Anh,35,9.2
